"X","Y","observed","GroupNum","CU","PE","oanimal","I.NO","P.NO","IdObserver","bgen","positive","ygen","wgen","vgen","cgen","ugen","fitSet"
231378.140779,8183451.59943,0,729,0,0,0,0,0,43,0.575272215652628,NA,-1.13591452617001,-1.47368779129891,0.117167441856598,0,-1.59085523315551,0
231378.285035,8183499.038886,0,729,0,0,0,0,0,20,0.875329255579957,NA,-1.6153210068879,-1.58926450198231,-0.00535888503427534,0,-1.58390561694803,0
231382.683505,8183460.711965,0,729,0,0,0,0,0,39,0.518423777571013,NA,-0.721669801358068,-0.121331940042485,-0.0216240409080548,0,-0.0997078991344298,0
231383.704372,8183523.642935,1,728,0,0,1,1,1,20,0.875329255579957,0,-6.32972852524831,-5.27768226549578,-0.0370073067908707,-1.21,-4.03067495870491,0
231385.515569,8183563.879295,0,727,0,0,0,0,0,39,0.518423777571013,NA,-4.41536318985741,-3.5658906315963,0.0999612138901573,0,-3.66585184548646,0
231385.528368,8183465.503391,1,729,0,0,0,1,0,39,0.518423777571013,0,-0.345684865974641,-1.03106424324105,0.227086395477853,-1.14,-0.118150638718907,0
231388.214432,8183605.006053,0,727,0,0,0,0,0,35,0.660445509316226,NA,-2.04973162131928,-2.42523977726253,-0.118555404739721,0,-2.30668437252281,0
231388.846009,8183471.418967,1,729,0,0,0,1,1,6,0.560102199293743,0,-2.2686684311714,-1.45905361966718,0.00185882632708756,-1.42,-0.0409124459942629,0
231390.01812,8183630.801299,1,726,0,1,1,1,1,20,0.875329255579957,1,0.531869287062274,0.422794026832028,-0.0624794057015749,-0.74,1.2252734325336,0
231390.145537,8183572.850058,0,727,0,0,0,0,0,32,0.755634820921243,NA,-2.09255272475946,-3.63770220155275,-0.00505907995347103,0,-3.63264312159928,0
231390.857565,8183491.984735,0,729,0,0,0,0,0,32,0.755634820921243,NA,-3.59520690129092,-1.93697252830057,-0.0657059882747585,0,-1.87126654002581,0
231391.736695,8183519.187967,0,728,0,0,0,0,0,20,0.875329255579957,NA,-3.25059898671371,-2.34120391509823,0.0125160529899187,0,-2.35371996808814,0
231392.601642,8183538.121364,0,728,0,0,0,0,0,20,0.875329255579957,NA,-2.94473771113491,-3.51308938301555,-0.0314174234101351,0,-3.48167195960541,0
231392.646501,8183645.21162,0,726,0,0,0,0,0,39,0.518423777571013,NA,0.875811532528946,0.532689217048999,0.0776110584100644,0,0.455078158638935,0
231394.004026,8183478.147762,0,729,0,0,0,0,0,35,0.660445509316226,NA,2.1037125463895,0.40046789642965,0.00666113791960487,0,0.393806758510045,0
231394.075674,8183654.771073,0,726,0,0,0,0,0,43,0.575272215652628,NA,0.251674759055112,1.48634834835727,0.0885820889268684,0,1.3977662594304,0
231394.455317,8183579.61388,1,727,0,0,0,1,0,20,0.875329255579957,0,-5.52515860962553,-5.78571992489848,0.0125613007516822,-1.14,-4.65828122565016,0
231395.464452,8183629.399913,0,726,0,0,0,0,0,32,0.755634820921243,NA,-0.658201934213953,1.04233684377904,0.0412688538612027,0,1.00106798991783,0
231395.845388,8183514.585024,1,728,0,1,1,1,0,39,0.518423777571013,0,-3.8799092055692,-3.9561908172889,-0.0674931661354828,-0.46,-3.42869765115342,0
231396.683204,8183605.720396,0,727,0,0,0,0,0,20,0.875329255579957,NA,0.55850495398016,-0.766970765776948,-0.0838621442428658,0,-0.683108621534083,0
231397.135811,8183679.449199,1,726,0,0,0,1,0,35,0.660445509316226,0,-1.5676861823769,-0.815535002264751,0.0574650480312371,-1.14,0.266999949704011,0
